Date,Type,residence,Positive,Negative,Total_Tests,Positive_Rate,Year,Month,Weekday
2021-02-27,Faculty/Staff,Non-Residential,0,2,2,0.0,2021,2,Saturday
2021-02-27,Students,Students - Non-Residential,0,13,13,0.0,2021,2,Saturday
2021-02-27,Students,Students - Residential,0,7,7,0.0,2021,2,Saturday
2021-02-28,Faculty/Staff,Non-Residential,1,14,15,6.67,2021,2,Sunday
2021-02-28,Students,Students - Non-Residential,1,50,51,1.96,2021,2,Sunday
2021-02-28,Students,Students - Residential,0,24,24,0.0,2021,2,Sunday
2021-03-01,Faculty/Staff,Non-Residential,6,158,164,3.66,2021,3,Monday
2021-03-01,Students,Students - Non-Residential,6,1184,1190,0.5,2021,3,Monday
2021-03-01,Students,Students - Residential,2,586,588,0.34,2021,3,Monday
2021-03-02,Faculty/Staff,Non-Residential,2,97,99,2.02,2021,3,Tuesday
2021-03-02,Students,Students - Non-Residential,5,1111,1116,0.45,2021,3,Tuesday
2021-03-02,Students,Students - Residential,2,556,558,0.36,2021,3,Tuesday
2021-03-03,Faculty/Staff,Non-Residential,1,113,114,0.88,2021,3,Wednesday
2021-03-03,Students,Students - Non-Residential,0,329,329,0.0,2021,3,Wednesday
2021-03-03,Students,Students - Residential,0,39,39,0.0,2021,3,Wednesday
2021-03-04,Faculty/Staff,Non-Residential,0,99,99,0.0,2021,3,Thursday
2021-03-04,Students,Students - Non-Residential,7,896,903,0.78,2021,3,Thursday
2021-03-04,Students,Students - Residential,1,533,534,0.19,2021,3,Thursday
